ACID|ACCT_OPN_BOD_DATE|ENTITY_CRE_FLG|DEL_FLG|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|DSA_PENAL_FLG|PENALTY_AMT|SUBVEN_REVERSE_FLG|APPLICATION_REF_ID|PARENT_CUST_ID|BANK_ID
011426454|1989-12-05 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:30.0|SYSTEM|2012-12-15 05:57:30.0|0||0||||01
011421108|1982-01-14 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:09.0|SYSTEM|2012-12-15 05:57:09.0|0||0||||01
011421223|2008-04-17 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:10.0|SYSTEM|2012-12-15 05:57:10.0|0||0||||01
011426443|1989-12-05 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:30.0|SYSTEM|2012-12-15 05:57:30.0|0||0||||01
011426072|2007-10-29 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:29.0|SYSTEM|2012-12-15 05:57:29.0|0||0||||01
011426082|2007-11-02 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:29.0|SYSTEM|2012-12-15 05:57:29.0|0||0||||01
011426134|2009-05-06 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:29.0|SYSTEM|2012-12-15 05:57:29.0|0||0||||01
011426093|1985-11-15 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:29.0|SYSTEM|2012-12-15 05:57:29.0|0||0||||01
011421191|2008-03-15 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:09.0|SYSTEM|2012-12-15 05:57:09.0|0||0||||01
011426333|1989-10-27 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:30.0|SYSTEM|2012-12-15 05:57:30.0|0||0||||01
011421274|1982-02-24 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:10.0|SYSTEM|2012-12-15 05:57:10.0|0||0||||01
011420749|2006-01-02 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:08.0|SYSTEM|2012-12-15 05:57:08.0|0||0||||01
011420690|2006-09-08 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:08.0|SYSTEM|2012-12-15 05:57:08.0|0||0||||01
011420588|2006-08-14 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:07.0|SYSTEM|2012-12-15 05:57:07.0|0||0||||01
011424371|1984-06-09 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:22.0|SYSTEM|2012-12-15 05:57:22.0|0||0||||01
011420619|1981-03-31 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:07.0|SYSTEM|2012-12-15 05:57:07.0|0||0||||01
011420210|1980-11-03 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:06.0|SYSTEM|2012-12-15 05:57:06.0|0||0||||01
011420156|1980-08-20 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:06.0|SYSTEM|2012-12-15 05:57:06.0|0||0||||01
011420815|1976-11-13 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:08.0|SYSTEM|2012-12-15 05:57:08.0|0||0||||01
011422017|1983-06-03 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:13.0|SYSTEM|2012-12-15 05:57:13.0|0||0||||01
011421855|2010-05-06 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:12.0|SYSTEM|2012-12-15 05:57:12.0|0||0||||01
011427028|1990-03-19 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:32.0|SYSTEM|2012-12-15 05:57:32.0|0||0||||01
011422967|1984-11-09 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:17.0|SYSTEM|2012-12-15 05:57:17.0|0||0||||01
011422958|1984-11-07 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:16.0|SYSTEM|2012-12-15 05:57:16.0|0||0||||01
011423772|1986-01-16 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:20.0|SYSTEM|2012-12-15 05:57:20.0|0||0||||01
011423963|2012-11-16 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:20.0|SYSTEM|2012-12-15 05:57:20.0|0||0||||01
011423894|2012-06-05 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:20.0|SYSTEM|2012-12-15 05:57:20.0|0||0||||01
011423566|2012-06-21 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:19.0|SYSTEM|2012-12-15 05:57:19.0|0||0||||01
011423629|2012-07-19 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:19.0|SYSTEM|2012-12-15 05:57:19.0|0||0||||01
011423519|2012-05-22 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:19.0|SYSTEM|2012-12-15 05:57:19.0|0||0||||01
011423529|2012-06-02 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:19.0|SYSTEM|2012-12-15 05:57:19.0|0||0||||01
011423527|1985-10-26 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:19.0|SYSTEM|2012-12-15 05:57:19.0|0||0||||01
011423750|2008-04-07 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:19.0|SYSTEM|2012-12-15 05:57:19.0|0||0||||01
011423773|2008-04-08 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:20.0|SYSTEM|2012-12-15 05:57:20.0|0||0||||01
011423294|2012-01-17 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:18.0|SYSTEM|2012-12-15 05:57:18.0|0||0||||01
011423243|2012-02-13 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:18.0|SYSTEM|2012-12-15 05:57:18.0|0||0||||01
011423358|2012-03-01 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:18.0|SYSTEM|2012-12-15 05:57:18.0|0||0||||01
011423242|1985-04-09 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:18.0|SYSTEM|2012-12-15 05:57:18.0|0||0||||01
011423082|1985-01-11 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:17.0|SYSTEM|2012-12-15 05:57:17.0|0||0||||01
011423147|1985-02-18 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:17.0|SYSTEM|2012-12-15 05:57:17.0|0||0||||01
011423174|2012-04-18 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:17.0|SYSTEM|2012-12-15 05:57:17.0|0||0||||01
011423169|2012-01-03 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:17.0|SYSTEM|2012-12-15 05:57:17.0|0||0||||01
011423078|2011-12-29 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:17.0|SYSTEM|2012-12-15 05:57:17.0|0||0||||01
011427174|2012-05-26 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:33.0|SYSTEM|2012-12-15 05:57:33.0|0||0||||01
011427033|1990-10-26 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:32.0|SYSTEM|2012-12-15 05:57:32.0|0||0||||01
011427215|1991-01-18 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:33.0|SYSTEM|2012-12-15 05:57:33.0|0||0||||01
011427262|1990-06-12 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:33.0|SYSTEM|2012-12-15 05:57:33.0|0||0||||01
011427271|1991-01-22 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:33.0|SYSTEM|2012-12-15 05:57:33.0|0||0||||01
011427081|1990-04-03 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:32.0|SYSTEM|2012-12-15 05:57:32.0|0||0||||01
011424674|2012-06-20 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:23.0|SYSTEM|2012-12-15 05:57:23.0|0||0||||01
011424727|1984-02-04 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:23.0|SYSTEM|2012-12-15 05:57:23.0|0||0||||01
011420516|2012-04-20 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:07.0|SYSTEM|2012-12-15 05:57:07.0|0||0||||01
011420467|2012-03-10 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:07.0|SYSTEM|2012-12-15 05:57:07.0|0||0||||01
011420483|2012-03-14 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:07.0|SYSTEM|2012-12-15 05:57:07.0|0||0||||01
011422169|1983-10-06 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:13.0|SYSTEM|2012-12-15 05:57:13.0|0||0||||01
011422115|2011-03-12 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:13.0|SYSTEM|2012-12-15 05:57:13.0|0||0||||01
011422299|2011-07-05 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:14.0|SYSTEM|2012-12-15 05:57:14.0|0||0||||01
011422331|2011-08-11 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:14.0|SYSTEM|2012-12-15 05:57:14.0|0||0||||01
011420204|2012-11-24 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:06.0|SYSTEM|2012-12-15 05:57:06.0|0||0||||01
011421602|2009-12-05 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:11.0|SYSTEM|2012-12-15 05:57:11.0|0||0||||01
011421686|2010-02-02 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:12.0|SYSTEM|2012-12-15 05:57:12.0|0||0||||01
011421726|2010-03-25 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:12.0|SYSTEM|2012-12-15 05:57:12.0|0||0||||01
011421820|1982-02-03 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:12.0|SYSTEM|2012-12-15 05:57:12.0|0||0||||01
011423446|2012-04-10 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:18.0|SYSTEM|2012-12-15 05:57:18.0|0||0||||01
011423456|2012-05-29 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:18.0|SYSTEM|2012-12-15 05:57:18.0|0||0||||01
011423450|1985-10-15 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:18.0|SYSTEM|2012-12-15 05:57:18.0|0||0||||01
011423944|1982-03-29 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:20.0|SYSTEM|2012-12-15 05:57:20.0|0||0||||01
011425344|1988-03-21 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:26.0|SYSTEM|2012-12-15 05:57:26.0|0||0||||01
011425388|1988-04-15 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:26.0|SYSTEM|2012-12-15 05:57:26.0|0||0||||01
011421027|1977-06-17 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:09.0|SYSTEM|2012-12-15 05:57:09.0|0||0||||01
011425623|2012-10-12 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:27.0|SYSTEM|2012-12-15 05:57:27.0|0||0||||01
011425505|1988-06-03 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:27.0|SYSTEM|2012-12-15 05:57:27.0|0||0||||01
011425583|1988-05-27 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:27.0|SYSTEM|2012-12-15 05:57:27.0|0||0||||01
011424257|1986-11-26 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:22.0|SYSTEM|2012-12-15 05:57:22.0|0||0||||01
011424203|2012-08-29 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:21.0|SYSTEM|2012-12-15 05:57:21.0|0||0||||01
011424241|2012-09-24 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:21.0|SYSTEM|2012-12-15 05:57:21.0|0||0||||01
011424339|1987-02-19 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:22.0|SYSTEM|2012-12-15 05:57:22.0|0||0||||01
011424321|1987-12-11 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:22.0|SYSTEM|2012-12-15 05:57:22.0|0||0||||01
011424309|2012-11-22 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:22.0|SYSTEM|2012-12-15 05:57:22.0|0||0||||01
011424341|1987-12-11 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:22.0|SYSTEM|2012-12-15 05:57:22.0|0||0||||01
011422486|2012-06-29 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:15.0|SYSTEM|2012-12-15 05:57:15.0|0||0||||01
011422504|2011-08-16 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:15.0|SYSTEM|2012-12-15 05:57:15.0|0||0||||01
011425225|2007-04-18 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:25.0|SYSTEM|2012-12-15 05:57:25.0|0||0||||01
011425832|1988-09-12 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:28.0|SYSTEM|2012-12-15 05:57:28.0|0||0||||01
011425786|1988-12-20 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:28.0|SYSTEM|2012-12-15 05:57:28.0|0||0||||01
011424651|1984-06-12 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:23.0|SYSTEM|2012-12-15 05:57:23.0|0||0||||01
011424630|2008-06-12 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:23.0|SYSTEM|2012-12-15 05:57:23.0|0||0||||01
011424734|1984-07-03 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:23.0|SYSTEM|2012-12-15 05:57:23.0|0||0||||01
011420773|1977-01-11 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:08.0|SYSTEM|2012-12-15 05:57:08.0|0||0||||01
011424768|1984-07-19 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:24.0|SYSTEM|2012-12-15 05:57:24.0|0||0||||01
011422886|2011-11-29 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:16.0|SYSTEM|2012-12-15 05:57:16.0|0||0||||01
011422838|1984-08-01 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:16.0|SYSTEM|2012-12-15 05:57:16.0|0||0||||01
011422899|2012-08-14 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:16.0|SYSTEM|2012-12-15 05:57:16.0|0||0||||01
011422832|2011-11-24 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:16.0|SYSTEM|2012-12-15 05:57:16.0|0||0||||01
011423709|2008-01-11 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:19.0|SYSTEM|2012-12-15 05:57:19.0|0||0||||01
011423789|2012-09-13 00:00:00.0|Y|N|SYSTEM|2012-12-15 05:57:20.0|SYSTEM|2012-12-15 05:57:20.0|0||0||||01
